"name","abbreviation","zip_prefix"
"Alabama","AL","3"
"Alaska","AK","9"
"Arizona","AZ","8"
"Arkansas","AR","7"
"California","CA","9"
"Colorado","CO","8"
"Connecticut","CT","0"
"Delaware","DE","1"
"Florida","FL","3"
"Georgia","GA","3"
"Hawaii","HI","9"
"Idaho","ID","8"
"Illinois","IL","6"
"Indiana","IN","4"
"Iowa","IA","5"
"Kansas","KS","6"
"Kentucky","KY","4"
"Louisiana","LA","7"
"Maine","ME","0"
"Maryland","MD","2"
"Massachusetts","MA","0"
"Michigan","MI","4"
"Minnesota","MN","5"
"Mississippi","MS","3"
"Missouri","MO","6"
"Montana","MT","5"
"Nebraska","NE","6"
"Nevada","NV","8"
"New Hampshire","NH","0"
"New Jersey","NJ","0"
"New Mexico","NM","8"
"New York","NY","1"
"North Carolina","NC","2"
"North Dakota","ND","5"
"Ohio","OH","4"
"Oklahoma","OK","7"
"Oregon","OR","9"
"Pennsylvania","PA","1"
"Rhode Island","RI","0"
"South Carolina","SC","2"
"South Dakota","SD","5"
"Tennessee","TN","3"
"Texas","TX","7"
"Utah","UT","8"
"Vermont","VT","0"
"Virginia","VA","2"
"Washington","WA","9"
"West Virginia","WV","2"
"Wisconsin","WI","5"
"Wyoming","WY","8"
"Washington DC","DC","2"
